YEAR,DEPARTMENT_LOCATION_ZIP_CODE,PAY_TOTAL_ACTUAL
2010,U Mass Amherst,119974336.13
2010,U Mass Boston,52934559.65
2010,U Mass Dartmouth,38459677.13
2010,U Mass Lowell,47242761.97
2010,U Mass Worcester,64654050.23
2011,U Mass Amherst,127820895.9
2011,U Mass Boston,58676649.27
2011,U Mass Dartmouth,41354107.62
2011,U Mass Lowell,52069557.68
2011,U Mass Worcester,62440430.68
2012,U Mass Amherst,133344142.72
2012,U Mass Boston,62278427.79
2012,U Mass Dartmouth,41654267.22
2012,U Mass Lowell,55302957.53
2012,U Mass Worcester,58267503.15
2013,U Mass Amherst,142672367.78
2013,U Mass Boston,68500865.42
2013,U Mass Dartmouth,42907459.63
2013,U Mass Lowell,60502463.13
2013,U Mass Worcester,57083968.52
2014,U Mass Amherst,148106938.97
2014,U Mass Boston,71672805.86
2014,U Mass Dartmouth,43608075.25
2014,U Mass Lowell,63371386.51
2014,U Mass Worcester,56970538.41
2015,U Mass Amherst,158464645.06
2015,U Mass Boston,78506143.34
2015,U Mass Dartmouth,45032300.04
2015,U Mass Lowell,66580769.88
2015,U Mass Worcester,57567930.81
2016,U Mass Amherst,164289859.62
2016,U Mass Boston,81842848.37
2016,U Mass Dartmouth,45686855.07
2016,U Mass Lowell,70233834.0
2016,U Mass Worcester,57006191.51
2017,U Mass Amherst,172273078.32
2017,U Mass Boston,81843833.72
2017,U Mass Dartmouth,46814631.28
2017,U Mass Lowell,73364021.22
2017,U Mass Worcester,58397825.57
2018,U Mass Amherst,179150519.32
2018,U Mass Boston,82326386.67
2018,U Mass Dartmouth,47714316.97
2018,U Mass Lowell,78924223.59
2018,U Mass Worcester,59858062.99
2019,U Mass Amherst,185712928.24
2019,U Mass Boston,81702644.26
2019,U Mass Dartmouth,48540980.61
2019,U Mass Lowell,81954024.45
2019,U Mass Worcester,62027210.02
2020,U Mass Amherst,191178035.49
2020,U Mass Boston,80123299.86
2020,U Mass Dartmouth,47928630.03
2020,U Mass Lowell,83368379.32
2020,U Mass Worcester,64801947.52
2021,U Mass Amherst,192374520.73
2021,U Mass Boston,79911603.88
2021,U Mass Dartmouth,47112592.51
2021,U Mass Lowell,83536706.83
2021,U Mass Worcester,69359776.99
2022,U Mass Amherst,204965887.5
2022,U Mass Boston,83824523.42
2022,U Mass Dartmouth,50201486.04
2022,U Mass Lowell,88512195.91
2022,U Mass Worcester,74043494.82
2023,U Mass Amherst,211907961.67
2023,U Mass Boston,85322162.03
2023,U Mass Dartmouth,50540176.78
2023,U Mass Lowell,89032258.49
2023,U Mass Worcester,79147314.1
2024,U Mass Amherst,55889685.83
2024,U Mass Boston,23562181.04
2024,U Mass Dartmouth,13527087.37
2024,U Mass Lowell,23119120.59
2024,U Mass Worcester,20643098.82
