YEAR,U Mass Amherst,U Mass Boston,U Mass Dartmouth,U Mass Lowell,U Mass Worcester
2010,119974336.13,52934559.65,38459677.13,47242761.97,64654050.23
2011,127820895.9,58676649.27,41354107.62,52069557.68,62440430.68
2012,133344142.72,62278427.79,41654267.22,55302957.53,58267503.15
2013,142672367.78,68500865.42,42907459.63,60502463.13,57083968.52
2014,148106938.97,71672805.86,43608075.25,63371386.51,56970538.41
2015,158464645.06,78506143.34,45032300.04,66580769.88,57567930.81
2016,164289859.62,81842848.37,45686855.07,70233834.0,57006191.51
2017,172273078.32,81843833.72,46814631.28,73364021.22,58397825.57
2018,179150519.32,82326386.67,47714316.97,78924223.59,59858062.99
2019,185712928.24,81702644.26,48540980.61,81954024.45,62027210.02
2020,191178035.49,80123299.86,47928630.03,83368379.32,64801947.52
2021,192374520.73,79911603.88,47112592.51,83536706.83,69359776.99
2022,204965887.5,83824523.42,50201486.04,88512195.91,74043494.82
2023,211907961.67,85322162.03,50540176.78,89032258.49,79147314.1
2024,55889685.83,23562181.04,13527087.37,23119120.59,20643098.82
