YEAR,U Mass Amherst,U Mass Boston,U Mass Dartmouth,U Mass Lowell,U Mass Worcester
2010,4392709.1,327133.63,184062.22,397603.67,
2011,5278125.25,370607.24,202834.16,755792.61,
2012,5490856.99,394156.68,266940.73000000004,962223.4299999999,
2013,6528146.93,458679.62,369906.09,1534092.3,
2014,6508398.55,599374.99,354641.11,2056172.37,
2015,6383640.28,737413.83,388719.51,2435072.22,
2016,7367636.64,834450.15,334036.04000000004,2607743.9,
2017,7219344.0,861985.09,343500.87,2846800.0,
2018,6808990.16,868942.11,376210.33999999997,3036777.1,
2019,7705934.22,949140.02,323001.24,3148611.9,
2020,7501604.66,812475.54,309448.49,3275873.1799999997,
2021,8109687.149999999,1174128.48,272099.01,3495763.13,7067.3
2022,9436563.69,1212553.1,371183.5,3322249.42,118459.01
2023,9910426.49,1520107.43,543247.3,3679502.61,385476.99
2024,2776944.31,406211.59,172929.0,1028893.15,5918.27
