id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
242,1,false,false,false,false,false,false,Bridge Boston Charter School,completed," The project consists of the renovation of the former Roxbury Comprehensive Health Center into the new Bridge Boston Charter School. In addition to the renovation, a new classroom wing and gymnasium will be constructed.",,443 Warren St,MA,"=""02119""",,,2018,,0,0,0,0,0,,46000,0,,,0.0,0.0,0.0,0.0,0.0,46000.0,0.0,0.0,42.3161586522969,-71.0845006245423,false,2016-01-14 15:46:40 UTC,2019-12-19 17:10:08 UTC,Boston,,false,,,,0,0,0,0,0,false,,0,0,,,M_234262_896273,2017,Metropolitan Area Planning Council,Suffolk,Roxbury,"[""MBTA Key Bus Route: 28"", ""MBTA Key Bus Route: 22"", ""MBTA Key Bus Route: 23"", ""MBTA Key Bus Route: 32""]",,,,
738,1,true,false,false,false,false,false,450 Cambridge Street,completed,mixed use rental with ground floor retail and on site garage parking,http://www.bostonplans.org/getattachment/03dbc2ae-a64e-4132-97ee-acc03f26d4ec,450 Cambridge Street,MA,"=""02134""",46,4,2017,49810,0,0,40,40,0,,1631,0,40,16500000,1631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3538949096954,-71.1355942281554,true,2014-12-09 15:48:29 UTC,2020-01-02 14:39:11 UTC,Boston,The Arcand Family/Allston LLC and Eagle Development Partners,false,,,,5,0,0,0,5,false,garage,0,,,,M_230015_900450,2017,Metropolitan Area Planning Council,Suffolk,Allston,"[""Rapid Transit: Harvard Avenue""]",,,,
4,362,true,false,false,false,false,false,201 West Brookline Street,completed,"luxury condo units in restored Concord Baptist Church in heart of South Boston. By Triad Alpha Partners  In restored and modernized church, features 1 penthouse unit and underground garage",,201 west brookline street,MA,"=""02118""",,5,2018,29314,0,0,9,9,0,,0,0,21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3433886667597,-71.0764206064062,false,2018-04-24 19:03:47 UTC,2020-02-17 21:06:11 UTC,Boston,Triad Alpha Partners  ,false,,,,0,0,0,0,0,false,underground,0,,,,M_234908_899298,2017,Metropolitan Area Planning Council,Suffolk,South End,"[""Rapid Transit: Back Bay""]",,,,
8,362,false,false,false,false,false,false,Boston Landing - 80 Guest Street,completed,"Mixed use office, lab and retail space at Boston Landing development. By NB Development Group 230,000 sf of Class A office and laboratory space, the 55,000-square-foot Warrior Ice Arena official practice facility of the Boston Bruins, 12,000 square feet of ground-floor retail and three levels of garage parking.",,80 guest street,MA,"=""02135""",151,10,2016,486000,,,,0,,,297000,,0,,12000.0,230000.0,0.0,0.0,0.0,0.0,55000.0,0.0,42.357211555412,-71.1423628608273,false,2018-04-24 19:03:56 UTC,2018-04-24 19:03:58 UTC,Boston,NB Development Group,false,,,,,,,,,false,garage,,,,,M_229445_900796,2017,Metropolitan Area Planning Council,Suffolk,Brighton,"[""Commuter Rail: Boston Landing""]",,,,
332,256,false,false,false,false,false,false,36-40 Sprague,planning,"352,445 gross square feet, including a total of 247 housing units and parking for 251 vehicles located at 36-40 Sprague Street in Hyde Park. The project consist of two buildings: the Sprague Building and the Courtyard Buildings. All buildings are 5-story structures resting upon a one-story podium containing resident parking, bicycle storage and building services. ",http://www.bostonplans.org/projects/development-projects/36-40-sprague-street,"40 Sprague St, Boston, MA, United States",MA,"=""02136""",110,8,2030,556625,0,0,247,247,,,0,,251,,0.0,,,,,,,,42.2358970615349,-71.1352646568101,true,2017-03-08 20:31:19 UTC,2022-04-07 17:51:43 UTC,Boston,OMB Sprague LLC,true,151,88,8,6,,,0,,false,,,,,,M_230073_887361,2017,Metropolitan Area Planning Council,Suffolk,Hyde Park,"[""Commuter Rail: Readville""]",,,false,false
45,1,false,false,false,false,false,false,Merck Research Center,completed,,,33 Avenue Louis Pasteur,MA,"=""02115""",,,2010,,,,,0,,2208,466000,,,,0.0,0.0,0.0,0.0,466000.0,0.0,0.0,,42.3397776377624,-71.1032596085988,false,2011-03-19 07:00:00 UTC,2018-04-24 19:05:52 UTC,Boston,,false,,,,,,,,,false,,,,,,M_232694_898885,2017,Metropolitan Area Planning Council,Suffolk,Longwood Medical Area,"[""Rapid Transit: Longwood Medical Area""]",,,,
39,1,false,false,true,false,false,false,Neponset Field,completed," Residential development for senior (over 62), affordable housing.",,36 Poydras St,MA,"=""02126""",,,2015,,,,,95,,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.2615823360454,-71.1063207820148,false,2011-03-19 07:00:00 UTC,2018-04-24 19:05:34 UTC,Boston,,false,,,,95,,,,,false,,,,,,M_232470_890186,2017,Metropolitan Area Planning Council,Suffolk,Hyde Park,[],,,,
49,1,false,false,false,false,false,false,Emmanuel College (Jean Yawkey Center),completed,,,400 Fenway ,MA,"=""02115""",,,2010,,,,,0,,187,90000,,,,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,,42.340934821699,-71.1027118530229,false,2011-03-19 07:00:00 UTC,2018-04-24 19:06:00 UTC,Boston,,false,,,,,,,,,false,,,,,,M_232722_899024,2017,Metropolitan Area Planning Council,Suffolk,Longwood Medical Area,"[""Rapid Transit: Fenway Park""]",,,,
41,1,true,false,false,false,false,false,The Clarion at 311 Blue Hill Avenue,completed," 39 residential units in two buildings with 6,160 SF of ground floor retail space with onsite parking for 32 vehicles.",,316 Blue Hill Avenue,MA,"=""02121""",,,2019,,0,0,39,39,0,,6160,0,32,12000000,6160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.313528651638,-71.0792506003865,true,2014-12-10 15:43:22 UTC,2019-12-12 17:12:25 UTC,Boston,,true,,,,32,0,27,0,5,false,,0,,,,M_234687_895977,2017,Metropolitan Area Planning Council,Suffolk,Dorchester,"[""MBTA Key Bus Route: 28"", ""MBTA Key Bus Route: 22"", ""MBTA Key Bus Route: 23"", ""MBTA Key Bus Route: 32""]",,,,
46,1,false,false,false,false,false,false,Blackfan Research Center,completed," Research facility, 575,000SF on the site of the current home of JBCC in the LMA.  Have submitted PDA Amendment to potentially incl. the BIDMC Longwood North Research Center.",,3 Blackfan Cir,MA,"=""02115""",,,2010,,,,,0,,2132,450000,,,,0.0,0.0,0.0,0.0,450000.0,0.0,0.0,,42.3390186419855,-71.104249612559,false,2011-03-19 07:00:00 UTC,2018-04-24 19:05:54 UTC,Boston,,false,,,,,,,,,false,,,,,,M_232613_898801,2017,Metropolitan Area Planning Council,Suffolk,Longwood Medical Area,"[""Rapid Transit: Brigham Circle""]",,,,
