NatWalkInd,Shape_Area
13.0,1420786.643
12.66666667,1180979.68
4.666666667,1309891.885
3.5,2302008.064
9.666666667,2287828.973
7.5,5828185.878
7.166666667,853345.6799
7.333333333,472370.3164
12.33333333,888295.6394
7.166666667,25665525.41
5.5,36510043.78
6.166666667,31203991.7
4.0,22536040.51
5.833333333,27125504.53
8.333333333,5026000.47
5.0,72574532.22
6.833333333,7496019.683
6.666666667,3092422.709
2.333333333,33007900.27
5.833333333,19266862.19
4.833333333,11803341.02
4.5,19178923.29
8.166666667,3733180.108
7.666666667,15921393.68
5.5,33631812.79
5.833333333,23449564.89
7.166666667,7896546.841
4.833333333,75796077.25
4.666666667,24562199.23
2.666666667,15050741.23
2.333333333,28286631.35
4.833333333,28330745.8
5.833333333,36808230.43
4.166666667,4703929.384
4.833333333,11232178.33
13.0,276608.4703
6.5,28554461.85
5.833333333,20663838.71
7.833333333,37384778.7
5.5,24365366.9
5.333333333,30202902.88
7.166666667,20652092.29
6.333333333,14195059.48
4.0,13747376.09
4.5,22711749.55
3.166666667,21985173.24
3.666666667,9067964.09
5.666666667,37663501.24
9.166666667,1772939.503
5.166666667,2947237.278
14.33333333,835407.1371
17.66666667,497960.9893
7.166666667,2447603.547
13.5,913677.5364
10.5,618898.3866
12.33333333,279138.8495
4.0,66041426.9
3.833333333,48385876.84
4.0,17075076.81
6.166666667,14237619.24
3.0,16340505.77
5.666666667,20771761.55
7.0,1925915.563
7.666666667,4477249.723
9.666666667,1894806.026
7.5,401805.4047
9.666666667,1131980.604
5.0,1186196.882
6.333333333,23880043.93
7.166666667,1426433.525
5.166666667,2545679.534
8.5,2078559.434
6.666666667,20235788.71
5.5,8192673.763
6.0,12254333.78
6.5,3008869.238
5.666666667,1136088.657
7.666666667,829002.9023
13.66666667,323649.8887
6.666666667,25373570.63
4.5,16684031.18
6.833333333,9929101.558
6.666666667,12511296.71
7.666666667,5644626.553
5.833333333,47299173.93
2.5,20862962.41
7.333333333,2018505.769
6.833333333,7634097.336
15.0,150626.9607
13.33333333,3925635.923
13.83333333,286766.839
14.66666667,110765.728
19.33333333,298857.4192
5.833333333,7325523.91
16.16666667,287250.1173
12.83333333,157084.8293
11.33333333,164304.3566
13.83333333,149004.5062
