NatWalkInd,Shape_Length,Shape_Area
13.0,7513.22601,1420786.643
12.66666667,4892.59801,1180979.68
4.666666667,5939.293138,1309891.885
3.5,6473.471538,2302008.064
9.666666667,8405.347476,2287828.973
7.5,9966.164341,5828185.878
7.166666667,5724.930256,853345.6799
7.333333333,3489.026532,472370.3164
12.33333333,5077.386491,888295.6394
7.166666667,27537.20802,25665525.41
5.5,26485.36237,36510043.78
6.166666667,28493.97742,31203991.7
4.0,20104.98638,22536040.51
5.833333333,25457.3198,27125504.53
8.333333333,13084.56187,5026000.47
5.0,38492.21048,72574532.22
6.833333333,17786.27389,7496019.683
6.666666667,9552.769289,3092422.709
2.333333333,24070.08059,33007900.27
5.833333333,21573.08281,19266862.19
4.833333333,16085.49096,11803341.02
4.5,21547.01527,19178923.29
8.166666667,12116.78855,3733180.108
7.666666667,17561.31465,15921393.68
5.5,30675.17944,33631812.79
5.833333333,24467.2481,23449564.89
7.166666667,15970.96719,7896546.841
4.833333333,44241.642,75796077.25
4.666666667,20923.06716,24562199.23
2.666666667,18107.73447,15050741.23
2.333333333,21423.08677,28286631.35
4.833333333,25084.2831,28330745.8
5.833333333,31704.94033,36808230.43
4.166666667,14218.53036,4703929.384
4.833333333,16794.27524,11232178.33
13.0,3745.444074,276608.4703
6.5,22555.55794,28554461.85
5.833333333,19942.05589,20663838.71
7.833333333,28310.92359,37384778.7
5.5,22722.56009,24365366.9
5.333333333,24631.80336,30202902.88
7.166666667,20977.67048,20652092.29
6.333333333,16856.8492,14195059.48
4.0,20047.81888,13747376.09
4.5,23319.67676,22711749.55
3.166666667,19102.82574,21985173.24
3.666666667,13934.77417,9067964.09
5.666666667,26243.97999,37663501.24
9.166666667,6722.58128,1772939.503
5.166666667,8685.739937,2947237.278
14.33333333,6065.983537,835407.1371
17.66666667,3293.16831,497960.9893
7.166666667,7453.087006,2447603.547
13.5,4989.99072,913677.5364
10.5,3374.013927,618898.3866
12.33333333,2420.064037,279138.8495
4.0,32336.49003,66041426.9
3.833333333,28624.51049,48385876.84
4.0,17526.12577,17075076.81
6.166666667,17043.05118,14237619.24
3.0,16543.63714,16340505.77
5.666666667,20176.65191,20771761.55
7.0,7124.691078,1925915.563
7.666666667,11884.27112,4477249.723
9.666666667,6396.736393,1894806.026
7.5,2689.362601,401805.4047
9.666666667,5506.560923,1131980.604
5.0,5057.554021,1186196.882
6.333333333,20236.94889,23880043.93
7.166666667,4920.853816,1426433.525
5.166666667,7309.35922,2545679.534
8.5,8446.456406,2078559.434
6.666666667,26569.38135,20235788.71
5.5,18284.91198,8192673.763
6.0,14936.39823,12254333.78
6.5,7877.080325,3008869.238
5.666666667,5495.700567,1136088.657
7.666666667,4227.785464,829002.9023
13.66666667,2740.582932,323649.8887
6.666666667,23538.00754,25373570.63
4.5,19579.25678,16684031.18
6.833333333,15384.24445,9929101.558
6.666666667,22031.69999,12511296.71
7.666666667,11360.84331,5644626.553
5.833333333,34124.16843,47299173.93
2.5,18450.69748,20862962.41
7.333333333,8355.326997,2018505.769
6.833333333,12319.06738,7634097.336
15.0,2157.135729,150626.9607
13.33333333,13140.84808,3925635.923
13.83333333,2421.251995,286766.839
14.66666667,1389.595159,110765.728
19.33333333,3090.052033,298857.4192
5.833333333,18117.62439,7325523.91
16.16666667,2310.391043,287250.1173
12.83333333,1687.045046,157084.8293
11.33333333,1734.944006,164304.3566
13.83333333,1732.386598,149004.5062
6.5,19521.37396,13072548.22
17.33333333,2393.781735,284310.4112
4.5,17611.51975,12982448.71
5.166666667,4342.335231,1065281.214
8.833333333,5369.146035,1288152.296
3.0,15431.73997,13376623.61
17.16666667,2837.404541,297713.654
15.83333333,1357.568781,73214.53581
17.5,3586.590002,343255.661
14.83333333,2132.999852,194831.6356
16.33333333,1744.78711,90159.23245
17.16666667,2284.287894,229313.324
15.83333333,1750.849367,139104.8556
16.33333333,3149.108807,288644.3927
15.33333333,4104.563878,912500.0107
14.0,4421.667962,494399.016
14.0,2197.536381,187803.7459
16.33333333,1671.353838,154577.443
4.166666667,7021.924201,2237508.163
5.333333333,9076.870289,2516450.808
4.666666667,15042.20782,9062596.179
12.0,14791.07924,5246655.372
12.83333333,4519.16527,966923.4726
12.5,5168.481691,933170.6533
4.666666667,7871.78446,2667142.368
9.833333333,9341.016365,2001505.123
7.666666667,5158.562445,1264251.559
11.33333333,7039.645139,2436008.321
13.16666667,8559.985503,3087425.093
9.333333333,3888.803863,890542.7412
13.5,2565.378369,302407.2728
12.33333333,3103.797904,442318.1995
16.66666667,3018.895339,277314.1397
9.5,3921.599694,448326.3443
13.5,4721.609958,1136590.483
15.16666667,2881.950379,464538.5644
10.66666667,5711.628028,1448013.284
17.16666667,1058.299643,70844.51325
13.66666667,1079.169499,66633.7693
15.33333333,1401.571304,94929.34225
14.16666667,1835.590596,124575.3117
18.5,1464.064605,104106.7824
16.83333333,1473.626129,105273.5051
13.83333333,2088.992717,148733.9901
13.5,2327.313324,164417.4638
15.0,1922.162589,177351.8977
16.33333333,1299.81423,62396.30434
12.66666667,1561.895734,99545.70726
16.0,1482.728156,118080.5466
18.5,1763.040973,95529.99548
14.33333333,1155.367628,54172.80846
16.16666667,1670.212319,92411.85937
14.33333333,1630.701133,110965.8539
11.66666667,1542.257824,136198.5893
13.0,1534.105006,139510.6058
15.33333333,1729.088713,157795.5362
18.5,1773.298939,130134.9503
14.83333333,3168.44556,420785.4875
16.5,3046.067211,240958.216
16.5,2771.186658,218565.7525
14.33333333,978.845833,59365.89902
13.33333333,1389.455707,98783.87672
12.0,3795.541732,277191.7144
10.66666667,3331.515773,202926.9701
16.0,2607.539319,308729.7532
14.83333333,1754.961712,188379.0739
13.66666667,2138.142906,238151.5364
16.83333333,1144.346383,67710.26738
16.33333333,2087.188556,155237.3991
18.66666667,2816.325762,319744.3591
15.0,24395.79236,2130546.417
15.33333333,1604.84396,120375.5863
14.66666667,1530.574631,89287.63245
17.33333333,2071.395937,188196.7102
14.16666667,1628.08778,141177.3398
14.33333333,1895.797095,171799.5579
13.66666667,1019.392252,69070.58503
12.33333333,2403.233172,180675.2797
16.0,2082.139147,112771.309
17.33333333,2235.441362,227454.0098
13.33333333,1250.392214,75916.1731
15.66666667,2159.554052,180145.8289
14.16666667,2068.104917,212642.4124
17.16666667,1824.046036,174659.5841
17.5,1821.600171,195404.186
12.83333333,3786.651627,471260.9033
12.66666667,4084.023492,301711.5254
15.0,2173.658636,192378.6889
12.5,1642.140776,157065.9227
13.66666667,2576.394907,292552.3337
15.0,2625.59751,223543.69
11.5,1906.813274,136452.5506
11.16666667,2830.231515,345992.484
12.33333333,3723.201579,773616.6525
14.33333333,3810.36873,611921.9567
14.16666667,1271.71953,97530.91756
12.5,4289.568257,941077.0416
17.66666667,2973.020914,370444.3148
10.5,11260.14681,3844010.881
11.83333333,4771.743692,1053289.182
9.333333333,11095.77726,4871296.06
14.33333333,4221.746771,727133.5881
1.0,154480.5258,134108241.2
11.83333333,1130.830134,80332.73948
15.16666667,997.6169947,63865.8014
14.66666667,1779.774216,109508.6461
15.16666667,2035.360803,240993.3288
15.33333333,2092.852067,175300.69
18.83333333,2430.613431,195263.4514
12.0,4636.819223,685884.6365
12.5,7442.136902,1685306.223
16.0,1308.392703,71201.52794
18.16666667,1005.305424,45229.61345
16.16666667,987.0583302,57109.09318
14.16666667,1603.271548,121559.3521
13.16666667,6162.086888,1453187.955
9.0,5047.378551,595372.6939
5.333333333,4831.281698,769009.4687
8.166666667,9426.140793,3931762.087
14.16666667,5111.739646,931987.7571
14.33333333,2654.197358,401125.9694
16.0,1951.072962,191318.908
13.5,1793.981299,166365.0963
15.83333333,2498.69996,210561.6501
16.66666667,2967.541485,232845.3837
16.83333333,1753.70306,142877.6662
5.166666667,46406.18064,58527264.18
11.16666667,2567.904084,368308.9932
11.33333333,2433.759992,245665.0665
12.83333333,1803.652399,205594.4182
12.0,14676.32965,7235565.19
4.5,6656.299127,1923100.303
13.66666667,5997.472513,1102693.753
13.66666667,1713.891453,168921.1526
10.5,7478.194018,2079060.895
4.833333333,13468.01937,6476784.531
8.333333333,15369.09147,7121325.513
6.833333333,12652.1655,4212007.108
6.333333333,16883.71042,12527926.02
16.16666667,1958.937595,215446.1712
12.0,5280.581907,1374303.662
13.33333333,2179.785418,232401.6718
9.0,4440.640503,946689.9101
13.66666667,3190.891217,559655.9245
8.166666667,17950.07552,11721402.27
6.5,13939.05547,5011957.043
8.166666667,19898.6341,17481139.48
14.33333333,2468.83135,223726.285
6.5,2944.781155,440557.7835
9.666666667,16429.88068,7471120.14
6.166666667,21050.86978,13344086.64
10.0,5590.996998,1102068.908
12.5,9367.211052,3637985.692
13.0,2621.028827,249824.3796
11.83333333,12002.58932,4344601.968
12.33333333,3007.193346,319724.0366
17.66666667,2230.306548,182680.0464
16.0,2383.964564,227492.0587
14.33333333,3586.965114,471778.0806
7.833333333,8258.444751,2558182.914
4.833333333,12928.12494,5639634.04
11.16666667,12246.56214,2571606.071
13.5,5164.026096,973382.1151
10.16666667,5514.695309,1486152.747
5.833333333,4504.621689,811626.6878
5.666666667,11405.35575,7234997.775
6.333333333,10716.04821,6794166.683
6.166666667,8222.568809,1713189.028
4.666666667,19817.70271,16434322.21
5.0,15831.8267,7906028.202
6.5,6275.085986,1875888.291
11.83333333,4190.7607,882278.6469
15.66666667,1501.349137,118046.0353
2.333333333,3135.109994,345358.2184
13.5,2491.970809,363493.89
12.5,4091.784764,723746.9698
5.5,14761.21351,9136846.525
12.5,8042.422274,2826904.461
5.166666667,21164.59533,24835966.49
4.333333333,23132.69394,12337119.73
16.0,3785.250468,506863.5289
7.166666667,10003.9324,5203599.852
7.833333333,14663.05187,5485378.487
5.0,23344.23972,20230948.97
11.16666667,2128.065064,204524.2713
5.666666667,12072.99783,4966373.191
6.666666667,13500.20803,7496105.896
13.83333333,9721.586998,2728872.041
18.16666667,6356.103029,1585303.457
5.166666667,25203.92593,25810359.36
11.83333333,14657.53752,7437505.467
7.833333333,12194.49788,5598082.791
4.666666667,19301.13757,6591455.148
8.833333333,8146.710567,2972023.29
12.0,11436.65338,5116803.548
5.0,14167.46197,9472083.698
2.833333333,16446.54927,8981333.939
6.0,14095.60832,6251604.973
7.833333333,12180.10056,4835125.918
9.0,4009.295473,803672.3314
3.833333333,17619.19229,17481755.46
11.83333333,3175.306434,403905.9548
6.666666667,11744.35596,6892961.687
3.5,27673.96662,30898718.88
7.0,12030.1328,7543978.848
8.833333333,12936.29269,3602231.565
9.166666667,11893.97368,6597113.966
7.0,10725.05408,3378514.366
16.33333333,5562.987651,804347.4492
10.0,10391.76555,3060396.054
7.0,4684.360584,1032833.442
10.16666667,19797.76036,12428160.56
15.0,1459.98026,108029.8577
5.333333333,13400.47227,6785751.447
5.333333333,21689.21831,9754757.282
14.0,5431.558344,1041729.923
16.66666667,1539.777925,143316.3411
6.666666667,20605.7783,11314489.26
14.5,12437.87659,3048457.187
7.166666667,18237.77812,6737428.423
13.66666667,4221.174527,612656.1876
7.0,24458.83273,23744847.83
19.5,2563.974812,222282.611
6.333333333,14544.44781,7947972.433
6.833333333,11148.29999,4942300.736
14.33333333,6349.255788,1549274.927
11.83333333,6109.794164,1557714.127
16.5,5786.095481,864845.8836
13.0,5210.681521,1036719.109
18.0,3108.646282,353740.6423
17.83333333,4019.074224,343505.1619
9.666666667,3509.972907,456800.0311
11.33333333,4681.915725,1104063.317
11.66666667,4041.006264,679386.9498
4.166666667,4314.880838,1053449.032
18.0,2455.640225,175546.4188
19.66666667,8719.844905,1536983.129
14.66666667,5047.405311,944208.5117
3.666666667,43631.08419,53086603.86
18.0,1458.661694,118220.4208
16.66666667,1216.952482,80862.80292
8.333333333,18476.98041,10134566.44
5.166666667,18705.67354,15298396.88
15.16666667,1452.639302,95579.35634
13.0,2445.499406,283849.2851
13.5,3517.448081,788136.8654
14.5,1924.978081,137459.7699
5.5,13869.65766,2468261.815
12.0,2277.681305,277805.3676
18.16666667,1922.195331,208187.051
13.66666667,1465.186971,96842.62891
15.16666667,1734.628399,150857.3064
7.333333333,8815.312162,1803012.02
4.5,23271.23835,26104094.62
15.66666667,2695.194003,215575.2658
14.5,1413.27448,106865.9319
6.0,4961.522335,1544948.786
16.0,2331.89345,295189.9724
15.5,3007.264482,238769.9721
14.5,3201.979257,344413.6452
4.333333333,17563.77502,19725230.53
15.5,5245.524125,913287.3422
14.0,4348.608468,656394.8275
14.16666667,2683.13362,401862.067
11.0,4884.10025,813509.4478
13.33333333,3632.937058,555115.6323
9.166666667,10204.87137,4058624.233
7.0,3279.447255,460770.6148
13.5,3629.87216,707016.368
14.83333333,4477.214895,957103.7974
14.0,1497.937224,110148.0833
6.5,20318.04694,15286670.19
13.5,2415.32195,244348.838
7.833333333,14263.19653,4732150.315
7.5,16309.99079,7765126.605
13.83333333,2774.368699,261673.2929
14.0,2190.758388,290043.63
13.33333333,3892.419917,908237.7669
17.16666667,1886.337547,181899.6633
5.333333333,19331.21601,14482429.94
5.166666667,10633.85817,4440326.418
14.33333333,2052.252844,201239.1252
12.83333333,3201.245826,452617.3554
15.0,4592.732988,517253.3934
14.5,3906.418235,707440.5729
16.66666667,3064.084382,436777.1221
6.0,4638.729182,1117791.588
16.33333333,1589.47412,157690.6738
7.666666667,9230.092309,4616670.09
13.66666667,11359.84566,4080297.207
17.33333333,2152.932482,151111.8083
16.5,2011.667319,177275.677
8.0,13348.54403,8456489.455
14.16666667,1562.11447,121942.4536
15.0,2043.915743,222284.5065
16.66666667,1555.704109,125944.9628
13.5,2568.442325,399226.2956
16.33333333,2315.908384,195681.5893
4.0,11007.59216,3236417.221
2.666666667,2562.778159,242144.0766
4.833333333,23107.94291,21707715.02
14.33333333,1750.869955,199229.7183
9.5,11135.33357,3895194.602
8.5,8879.219986,3962287.04
6.333333333,13599.65565,6327372.803
8.5,8154.798827,3786809.069
14.83333333,4854.853047,1263272.721
6.0,3947.123723,819848.9202
11.66666667,2427.616988,271751.1153
6.0,3117.964231,492655.2072
16.0,6444.618279,2074867.507
9.0,22334.23846,13580609.03
14.33333333,5473.849986,1523236.74
4.333333333,7843.97067,2046079.077
5.833333333,13650.37567,6886266.198
11.16666667,4426.247644,1181509.438
6.166666667,17845.86054,12326242.58
5.333333333,23633.74227,14926853.54
6.333333333,29353.68441,26593926.82
14.33333333,1446.116337,93850.51985
5.166666667,20989.26926,9811589.278
7.5,4601.489763,976235.0761
9.166666667,17847.02669,5927551.206
4.833333333,11026.96901,6037170.41
17.33333333,3165.247077,285708.1181
5.833333333,18870.99061,7621187.744
7.0,12961.45357,3899453.323
18.33333333,1885.480525,133566.3143
15.66666667,4426.562825,938944.1315
7.0,9919.988482,3017140.203
5.166666667,19090.73939,14970275.98
11.0,5266.716166,680105.2835
7.833333333,4936.595656,1081593.65
11.0,7019.459539,2669931.83
11.5,3726.881717,404725.301
11.0,3610.203779,693830.1197
5.5,4816.215046,1141259.739
14.66666667,3166.514045,327404.6604
13.66666667,2569.196014,317816.4765
12.83333333,3840.865232,800581.8739
12.16666667,10709.96303,3608049.35
11.83333333,4093.033728,594417.545
14.83333333,1955.245047,253426.8478
12.83333333,2479.695139,291037.7745
10.66666667,4827.806286,1137612.192
17.66666667,1796.73583,164504.0738
15.16666667,2559.333538,231477.3347
12.66666667,2594.680974,366549.7699
9.666666667,4844.990858,628796.7628
14.66666667,2437.567905,277168.3021
18.5,2992.396822,390313.1602
16.16666667,1998.606317,163258.2993
18.5,1402.150812,84343.92492
19.16666667,1392.461712,95869.05969
15.16666667,1243.322968,94103.82071
17.5,730.1363124,30941.15797
16.83333333,1902.93157,144032.2389
17.66666667,1019.743623,59740.07356
16.0,1489.903752,67541.19558
13.5,2277.865113,264087.7217
17.33333333,1253.771095,96255.88036
17.83333333,1100.282604,65263.61497
17.66666667,1557.786053,87660.61358
12.5,1144.875473,82406.06143
14.0,2503.174149,283146.9641
14.66666667,3669.206385,747235.74
14.16666667,3920.782563,773846.1036
16.16666667,5797.30511,1894047.004
12.5,2236.984338,244279.8851
16.83333333,2591.427713,365073.6365
15.0,2217.553499,197884.865
16.66666667,3375.393724,511123.3737
17.16666667,2513.288903,257085.0575
16.33333333,1159.095697,54004.12421
15.33333333,1286.212245,75036.62111
15.66666667,1058.114744,66570.13686
17.16666667,1416.071999,114560.1127
14.16666667,2169.793194,161680.3081
15.16666667,1331.410697,56581.05874
16.83333333,1780.856618,145711.1648
17.83333333,1714.777628,118284.8078
18.16666667,4844.917923,936203.33
16.16666667,1285.403344,90456.6949
5.833333333,14865.46837,13088304.04
9.5,8983.811064,2138615.735
13.83333333,2980.496664,219859.7734
15.0,3191.528885,328014.1199
13.66666667,1981.967453,240614.3401
11.66666667,4852.870104,1228133.193
17.16666667,2586.56935,203638.7152
11.0,3783.666216,650881.78
14.83333333,2360.053741,276326.8427
10.16666667,2388.435729,117780.9737
18.5,1932.92401,115882.953
17.66666667,1497.661753,106856.8507
14.0,2401.215404,275977.2473
12.16666667,2021.756029,82256.24006
14.5,1739.639843,114983.7854
14.66666667,2221.036294,255808.2532
13.33333333,1888.078305,122287.7057
12.83333333,2366.659989,184980.9767
18.83333333,2576.391359,332137.0302
17.0,3523.283057,444078.4488
13.16666667,2545.643556,272895.2173
14.66666667,2276.188383,228302.4309
13.5,1563.115631,130516.7953
15.66666667,6532.40676,958537.7007
17.0,4178.637831,607801.9462
14.5,2965.217911,513540.2632
17.16666667,3356.667893,458010.9607
14.33333333,2864.129283,419342.5021
1.0,4973.117899,1145446.705
5.5,7404.715303,2051227.657
9.833333333,12803.35661,4002923.653
13.83333333,4104.287898,753646.7198
13.16666667,4511.419319,1214421.453
5.666666667,13042.25556,7857099.084
10.33333333,9641.1717,3866938.325
11.5,10214.78346,4312829.074
16.5,1445.056798,135177.9618
13.83333333,1702.603624,174744.9049
16.33333333,1874.552351,127952.6905
15.16666667,1938.590512,155961.9386
12.66666667,1787.887152,180332.0702
14.0,1693.823384,77623.57302
17.0,1474.686265,124299.2464
15.0,1617.875508,97251.35846
14.33333333,1673.588109,106704.6521
12.83333333,1151.454988,79141.9344
14.33333333,1478.835894,102646.8682
12.33333333,1398.975492,101198.7236
18.66666667,1167.594119,78411.30386
14.0,4336.791498,837682.2113
14.5,1654.56786,134726.8409
16.83333333,5273.522598,604694.4539
13.33333333,4116.664548,817064.5962
13.83333333,3891.73276,572483.7641
14.0,1835.8059,162162.9818
